Time,Percent,Group
99,0.067,1
99,0.133,1
99,0.067,1
99,0,1
99,0,1
0,0.5,2
0,0.467,2
0,0.857,2
0,0.5,2
0,0.357,2
0,0.533,2
5,0.467,3
5,0.467,3
5,0.125,3
5,0.4,3
5,0.214,3
5,0.4,3
10,0.067,4
10,0.067,4
10,0.333,4
10,0.333,4
10,0.133,4
10,0.133,4
15,0.267,5
15,0.286,5
15,0.333,5
15,0.214,5
15,0,5
15,0,5
20,0.267,6
20,0.2,6
20,0.267,6
20,0.437,6
20,0.077,6
20,0.067,6
25,0.133,7
25,0.267,7
25,0.412,7
25,0,7
25,0.067,7
25,0.133,7
30,0,8
30,0.071,8
30,0,8
30,0.067,8
30,0.067,8
30,0.133,8